,entity_name,cik,fy,manifold_distance,manifold_distance_pct,net_margin,op_margin,pe_ratio,pb_ratio,revenue,net_income,revenue_growth,debt_to_equity,roe,op_cash_yield,dev_net_margin,dev_log_revenue,dev_log_public_float,dev_debt_to_equity,dev_roe,dev_op_cash_yield,dev_revenue_growth
118,"PREMIER PACIFIC CONSTRUCTION, INC.",1589919,2014,12.652067272789179,99.84206229170292,0.1674822905964419,,0.10380175962547421,0.7216610549943884,73972.0,12389.0,,0.0,6.952300785634119,0.29704510108864696,5.4325300651351105,-10.0,-4.230827042885907,0.0644752624121,0.33453851671063733,3.5420972348518824,0.0
119,"OZOP ENERGY SOLUTIONS, INC.",1679817,2022,12.62213378368661,99.84072383654785,0.3623578651127969,-0.27732035635574237,9.358544209477495,,16629450.0,6025812.0,0.394081705279033,-0.7068396223611816,-0.2984258313889982,-0.1524891782337995,8.42674036582997,-1.6109795505987479,-1.592266394060059,-7.961236276732743,-1.3942577924408068,-3.606423349057961,1.064935791061185
120,"agilon health, inc.",1831097,2025,12.615538654861659,99.8393853813928,-0.06596577945229863,-0.07808344975268754,,5.597550775640317,5932576000.0,-391347000.0,-0.0211126749640708,0.2760742973471996,-3.0879400950021303,-0.14908796165773894,-3.837130796487798,7.832383523047797,1.4930034663792384,5.110122409354292,-0.37831565895775293,-0.6478943574423079,-5.087571729465431
121,CERES CLASSIC L.P.,1066656,2021,12.56425205287694,99.83804692623774,-1.2617430067001283,1.0073298349285797,18.323952124234882,1.0826130984597824,-6410922.0,8088936.0,-1.0991707339754146,0.0,0.059081855874745536,,10.0,2.268109515834952,0.1566338170643802,-0.22004775882013064,0.7524397833152562,0.6852306226983298,-1.6025327874398878
122,CapForce Inc.,1293818,2024,12.562704341537275,99.83670847108269,2.3080131073993453,0.062491856950214475,0.27516555794402964,0.4471164242392382,5196149.0,11992780.0,0.5200885230171546,0.0,1.6248996697841973,-1.47568,6.628264274183462,-3.491337923276828,0.6832409845643737,0.17794601005530866,0.5486438354961106,0.8834292933842743,10.0
123,Q BIOMED INC.,1596062,2022,12.54815062235737,99.83537001592762,-7.216734891964888,-12.117431915372496,,,284352.0,-2052093.0,0.45376462829184494,-0.0,0.44442396644707804,1.4933876923076923,1.776356839400219e-14,0.7009113865385564,-1.4038817318335333,-0.03251023201810269,6.532757359067471,3.509408457984947,10.0
124,"Lucid Group, Inc.",1811210,2024,12.541912871645609,99.83403156077256,-3.359537626635241,-3.7394161162221846,,0.6197047519993224,807832000.0,-2713942000.0,0.35708274046610705,0.5169760370500814,-0.7007678141877272,-0.8415308333333333,-0.1808421507190595,1.6005721687534646,1.115427153188514,0.7885763856814085,5.0507021907947856,-10.0,5.214261272437385
125,"BIOLASE, INC.",811240,2018,12.525829960016956,99.8326931056175,-0.46616834579135524,-0.45249702090781063,,0.8636630895482009,46155000.0,-21516000.0,-0.016430124025060736,1.1272432139958517,-1.9403011993867796,-1.4771602437465805,-4.016616241475352,-1.2426413021473226,-0.16398570737535162,10.0,0.09456228007160251,-3.6705160458293844,-0.40927526310186135
126,APA CORPORATION,1841666,2021,12.491449213773334,99.83135465046243,164.125,357.5,6.227346782939833,,8000000.0,1313000000.0,,-4.5736677115987465,-0.8231974921630094,0.42756647651372465,8.363458772705801,-2.9375795509217495,0.5397791383475079,-5.88350999811115,-0.6824843248385669,-0.003474726324204924,0.14506547752600168
127,Gulfport Energy Corporation,874499,2021,12.481373411761155,99.83001619530738,-1.8754232339575,-1.5724627311774848,,1.100416310361485,866542000.0,-1625133000.0,0.0,1.1145580434819993,-2.540592214386548,0.13539423213524648,4.164703059896247,3.2241841307770702,2.136553552845083,3.989549807250662,-2.6645352591003047e-14,2.592116027123445,-0.918767168969074
128,"CARVER BANCORP, INC.",1016178,2023,12.477628006699302,99.82867774015232,-1.5181096929975855,,,0.3738208915620025,2899000.0,-4401000.0,-0.4181051786431152,0.9044533875818149,-0.09731558464532107,-0.6218621485470324,10.0,1.4870462531307136,1.1607715051099017,6.375744338038679,-1.3353164325219895,1.2847686589314293,-2.8370208461647928
129,OASIS MIDSTREAM PARTNERS LP,1652133,2018,12.47404800462929,99.82733928499725,0.1842811543941419,0.547692942055717,3.0359071621216662,0.6368115199262456,271623000.0,50055000.0,0.4906649251437854,1.3326069647571555,0.20975987931106735,1.3490974766753547,1.0689792487817409,-0.5393025731692614,0.09881779316582921,10.0,0.37096596540043725,4.124560115160655,5.658273651109344
130,"DMY SQUARED TECHNOLOGY GROUP, INC.",1915380,2023,12.414267116772956,99.8260008298422,0.7302687196195748,-0.599652881436978,28.253408569957042,,3145323.0,2296931.0,4.556194830178081,-0.1866207207771266,-0.45223919269433577,-0.009250813569314533,-6.160003091478772,-0.27258540840271706,-1.7460307675245734,-3.454340865689858,1.0183888524479054,-0.271542676365572,-10.0
131,"SPARTA COMMERCIAL SERVICES, INC.",318299,2025,12.390242990240663,99.82466237468714,-8.978016846109432,-5.201079203885474,,,235544.0,-2114718.0,0.22653613830451988,-0.7210546740905275,0.18216955398687945,-1.8079683243082705,-0.23717904634277218,-0.2705962268697948,-2.819089695307085,-1.8331426199452117,6.176269532089862,-1.9835980517534093,10.0
132,APA CORPORATION,1841666,2022,12.315202949200867,99.82332391953209,408.2,556.5,2.8430419853013227,27.435691215130024,10000000.0,4082000000.0,0.25,12.886524822695035,9.650118203309693,0.42592618150525113,8.97649305898312,-3.8410276094181732,0.3238300165443513,-0.1899105119667193,0.5583363438479431,3.4267629209598574,1.1662334680634618
133,LONE PINE RESOURCES INC.,1506932,2012,12.312210031186233,99.82198546437702,-1.6972063032820837,-2.160568012512596,,1.0841616518268344,161757000.0,-274535000.0,-0.15399058577405858,1.5831170160307404,-1.277132702524167,0.34566303572873597,10.0,1.8029558959540313,0.3755700163473021,1.8703451732567045,1.5249496703968073,5.797862459055989,-2.954452084851775
134,IMPERIAL INDUSTRIES INC,49930,2011,12.294193588608703,99.82064700922196,0.3798289183222958,-0.20019315673289184,0.5400820922629859,0.8505983981693364,7248000.0,2753000.0,,0.04977116704805492,1.5749427917620138,-0.3900874737531661,7.822987637529002,-7.3626377874533375,-0.7045538659133576,0.5082004890192954,-0.43991209358233796,-2.7539587929482794,0.0
135,"TSS, INC.",1320760,2018,12.292498498422281,99.8193085540669,0.10911126035370494,0.1283187821804343,2.110263438654083,2.072838371624345,22335000.0,2437000.0,0.21942563878576107,0.7408303103587264,0.9822652156388553,0.36945487128192284,-0.16492428182081637,-0.2890075583211462,-1.9968428095011654,6.305047794312982,10.0,1.7328177111789902,1.921228984950196
136,"CENVEO, INC",920321,2014,12.271297513521732,99.81797009891183,-2.631821747999372,1.373230817511376,,,31865000.0,-83863000.0,-0.9820762422038826,-1.9705093452404474,0.13255304856363853,0.11853824847616393,-0.2454814674847589,1.0659469429695485,-0.25406671093553146,-6.769876186653291,0.1507461468154528,1.584282024555203,-0.9796893481766227
137,Titan Environmental Solutions Inc.,1514056,2024,12.256307685276623,99.81663164375678,-2.250093817859975,-0.6153593075202705,,,9574403.0,-21543305.0,5.858454871060172,-0.6961197596558365,4.570481973975586,-10.414863884876015,-0.14006696527178678,0.7983034804385526,-1.6270262909967828,-0.7393622193568169,5.314074706412971,-4.242819434340589,0.35410887275921055
138,SUNRISE REAL ESTATE GROUP INC,1083490,2023,12.251601350660403,99.81529318860171,-0.40794696338624403,-0.02472196935289528,,0.05014521938645103,24833863.0,-10130899.0,-0.6896550319320041,0.0,-0.08494439461519446,-0.6786396554310097,-1.4874643257037563,-0.3873494213032492,-0.9120439384477662,-0.050990970822656176,1.3208900653759412,-6.96309509233596,-9.831103131333936
139,U.S. GOLD CORP.,27093,2013,12.241934786036408,99.81395473344665,-0.16747537659327927,-0.15494640787949016,,1.9688361204013378,27616000.0,-4625000.0,-0.23456858560381386,0.0,-1.5468227424749164,-0.6594392218549233,7.975700735095051,-0.2712802972828892,-1.677838763533282,-0.736851599936082,-2.112496342650048,-3.8056327776096293,-1.7120832087366347
140,SUMMIT THERAPEUTICS INC.,1599298,2025,12.210077569505271,99.8126162782916,,,,3.7698448835868015,,-1079586000.0,,0.0,-1.6385666150623805,-0.13001449392060552,10.0,1.2408273950871396,1.2269076330673891,-0.36891589589582546,-3.4551320199261166,-0.4202661324795117,0.5412391241328995
